time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
1086.602099	81.108009	0.015913	5.096970	245
1087.641838	85.700027	0.015872	5.399448	246
1088.705411	85.548607	0.015905	5.378670	247
1089.735541	92.210426	0.015909	5.796025	248
1090.797585	95.504326	0.015884	6.012787	249
1091.831152	101.705185	0.015926	6.386147	250
1092.893806	97.314766	0.015906	6.117946	251
1093.922237	103.578049	0.015856	6.532259	252
1094.983883	104.058250	0.015867	6.558236	253
1096.014414	103.956566	0.015888	6.543126	254
1097.114853	141.197006	0.015918	8.870292	255
1098.108149	116.971870	0.015917	7.348946	0
1099.170646	116.230392	0.015892	7.313873	1
1100.206247	121.039902	0.015911	7.607453	2
1101.262194	124.589554	0.015910	7.831137	3
1102.305338	123.081284	0.015897	7.742198	4
1103.354845	135.503159	0.015891	8.527153	5
1104.396219	124.948418	0.015912	7.852376	6
1105.452888	136.073975	0.015921	8.546864	7
1106.484877	143.459244	0.015890	9.028481	8
1107.544413	139.414993	0.015909	8.763016	9
1108.585003	149.105225	0.015878	9.390897	10
1109.634124	155.110336	0.015879	9.767970	11
1110.677779	148.965103	0.015908	9.364149	12
1111.732096	163.979965	0.015889	10.320134	13
1112.764566	163.272064	0.015875	10.285026	14
1113.826396	161.840866	0.015893	10.183074	15
1114.862038	168.138504	0.015890	10.581299	16
1115.915312	174.049759	0.015879	10.961186	17
1116.959838	171.091705	0.015887	10.769156	18
1118.010798	185.585922	0.015851	11.708117	19
1119.048004	183.376923	0.015882	11.546544	20
1120.105995	191.011902	0.015891	12.019938	21
1121.141602	188.710449	0.015880	11.883171	22
1122.198045	197.689972	0.015874	12.453891	23
1123.237556	197.844437	0.015881	12.457849	24
1124.289220	201.847076	0.015898	12.696099	25
1125.332709	208.543793	0.015874	13.137144	26
1126.382637	216.102493	0.015875	13.612495	27
1127.424871	211.605789	0.015885	13.321205	28
1128.476941	219.234039	0.015848	13.833261	29
1129.517981	224.822159	0.015905	14.135595	30
1130.571420	217.249313	0.015882	13.679183	31
1131.610644	226.330093	0.015884	14.249264	32
1132.665104	230.766937	0.015873	14.538090	33
1133.701643	228.993500	0.015887	14.413465	34
1134.757837	229.797852	0.015889	14.462414	35
1135.796805	351.281830	0.015884	22.115234	36
1136.850293	242.921219	0.015892	15.285899	37
1137.888498	239.276093	0.015900	15.048775	38
1138.946856	237.666672	0.015885	14.961480	39
1139.982194	246.133682	0.015877	15.502993	40
1141.037805	241.752609	0.015884	15.219562	41
1142.077253	241.925995	0.015892	15.223496	42
1143.129285	250.270523	0.015898	15.741862	43
1144.172460	244.505066	0.015899	15.378738	44
1145.220250	244.420135	0.015877	15.394393	45
1146.264561	247.089706	0.015871	15.568912	46
1147.314377	257.902069	0.015870	16.251032	47
1148.356821	245.075684	0.015873	15.440198	48
1149.408818	252.246063	0.015904	15.860321	49
1150.448590	252.739746	0.015880	15.915948	50
1151.502709	249.764282	0.015893	15.715828	51
1152.541717	252.514572	0.015867	15.914166	52
1153.594146	244.647446	0.015848	15.436861	53
1154.638519	243.705322	0.015870	15.356582	54
1155.685557	248.552414	0.015866	15.665781	55
1156.730199	243.785461	0.015865	15.366273	56
1157.779275	242.982971	0.015822	15.356902	57
1158.819405	251.839676	0.015841	15.897897	58
1159.876689	229.131546	0.015870	14.438374	59
1160.911329	251.023026	0.015847	15.840318	60
1161.963864	247.574081	0.015885	15.585671	61
1163.007534	276.116516	0.015889	17.377768	62
1164.055671	234.081467	0.015893	14.728366	63
1165.100146	229.210693	0.015867	14.445572	64
1166.148697	236.543579	0.015849	14.924518	65
1167.192926	236.351929	0.015905	14.860375	66
1168.242294	232.357788	0.015874	14.637918	67
1169.283518	240.179703	0.015873	15.130957	68
1170.335786	225.179016	0.015890	14.171046	69
1171.375139	234.514252	0.015869	14.778250	70
1172.427335	229.890274	0.015874	14.482384	71
1173.468443	228.333862	0.015867	14.390794	72
1174.519483	223.440277	0.015856	14.091929	73
1175.560848	227.420380	0.015895	14.307473	74
1176.611828	230.559387	0.015873	14.525297	75
1177.653221	242.419632	0.015866	15.279226	76
1178.703482	216.666260	0.015846	13.673097	77
1179.745787	229.124542	0.015867	14.440473	78
1180.795295	216.939651	0.015882	13.659685	79
1181.837652	219.738007	0.015877	13.839916	80
1182.888776	208.601639	0.015870	13.144471	81
1183.930554	212.932968	0.015865	13.421813	82
1184.981281	203.706650	0.015869	12.836850	83
1186.021899	210.114532	0.015839	13.266011	84
1187.073826	202.178802	0.015874	12.736844	85
1188.113024	234.443619	0.015871	14.771736	86
1189.167268	192.086151	0.015896	12.083985	87
1190.206727	208.375565	0.015867	13.132675	88
1191.256897	192.418915	0.015819	12.163511	89
1192.299851	227.772964	0.015912	14.314354	90
1193.348794	189.563553	0.015865	11.948761	91
1194.391627	207.230911	0.015877	13.052551	92
1195.440026	197.163513	0.015866	12.427170	93
1196.483701	194.999924	0.015874	12.284453	94
1197.533841	184.501434	0.015881	11.617558	95
1198.574519	198.674545	0.015860	12.526448	96
1199.627625	175.681824	0.015897	11.051467	97
1200.667733	189.129654	0.015865	11.921318	98
1201.717497	139.593872	0.015868	8.797410	99
1202.759482	188.777588	0.015863	11.900363	100
1203.808759	174.992844	0.015874	11.023558	101
1204.854018	184.623474	0.015887	11.621007	102
1205.899699	135.512909	0.015868	8.539964	103
1206.943731	182.388672	0.015877	11.487419	104
1207.993203	171.265152	0.015900	10.771301	105
1209.036243	178.833633	0.015900	11.247196	106
1210.087779	161.186035	0.015870	10.156658	107
1211.127395	180.298599	0.015837	11.384382	108
1212.178166	163.340485	0.015898	10.274044	109
1213.219453	183.862961	0.015864	11.589817	110
1214.269455	160.729980	0.015887	10.116849	111
1215.312624	179.482040	0.015870	11.309541	112
1216.360270	163.932953	0.015878	10.324485	113
1217.403830	174.687698	0.015870	11.007660	114
1218.454101	148.659210	0.015897	9.351125	115
1219.495446	174.407364	0.015862	10.995048	116
1220.543842	164.063766	0.015880	10.331188	117
1221.588349	164.688766	0.015871	10.376858	118
1222.636306	152.013779	0.015885	9.569382	119
1223.678757	164.537857	0.015875	10.364484	120
1224.728244	155.093216	0.015899	9.755050	121
1225.770947	169.125244	0.015897	10.638845	122
1226.821968	141.083344	0.015880	8.884098	123
