crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.403175	1984	0.000000
281474976710655.000000	2.282573	1985	2105779456.000000
281474976710655.000000	2.366039	1986	2106822784.000000
281474976710655.000000	2.414618	1987	2107879552.000000
281474976710655.000000	2.478733	1988	2108923392.000000
281474976710655.000000	2.546175	1989	2109962240.000000
281474976710655.000000	2.552657	1990	2111026816.000000
281474976710655.000000	2.725379	1991	2112060672.000000
281474976710655.000000	2.498332	1992	2113119104.000000
281474976710655.000000	2.635740	1993	2114152576.000000
281474976710655.000000	2.813956	1994	2115210112.000000
281474976710655.000000	2.792537	1995	2116248960.000000
281474976710655.000000	2.766476	1996	2117307008.000000
281474976710655.000000	3.017046	1997	2118343296.000000
281474976710655.000000	2.771544	1998	2119397504.000000
281474976710655.000000	3.017771	1999	2120438144.000000
281474976710655.000000	3.094428	2000	2121494528.000000
281474976710655.000000	3.024561	2001	2122533632.000000
281474976710655.000000	3.054182	2002	2123582336.000000
281474976710655.000000	3.240043	2003	2124629376.000000
281474976710655.000000	3.233149	2004	2125678848.000000
281474976710655.000000	3.181430	2005	2126721280.000000
281474976710655.000000	3.343205	2006	2127771520.000000
281474976710655.000000	3.409983	2007	2128816256.000000
281474976710655.000000	3.392436	2008	2129866496.000000
281474976710655.000000	3.432079	2009	2130906112.000000
281474976710655.000000	3.451052	2010	2131963520.000000
281474976710655.000000	3.640222	2011	2133000192.000000
281474976710655.000000	3.546835	2012	2134055552.000000
281474976710655.000000	3.636452	2013	2135093248.000000
281474976710655.000000	3.716645	2014	2136151424.000000
281474976710655.000000	3.734279	2015	2137185536.000000
281474976710655.000000	3.847183	2016	2138244096.000000
281474976710655.000000	3.856818	2017	2139281024.000000
281474976710655.000000	3.829771	2018	2140333312.000000
281474976710655.000000	3.966633	2019	2141377664.000000
281474976710655.000000	3.983992	2020	2142426624.000000
281474976710655.000000	4.033548	2021	2143470592.000000
281474976710655.000000	4.188281	2022	2144521344.000000
281474976710655.000000	4.100345	2023	2145561600.000000
281474976710655.000000	4.127358	2024	2146616320.000000
281474976710655.000000	4.242659	2025	2147654400.000000
281474976710655.000000	4.237950	2026	2148709888.000000
281474976710655.000000	4.342986	2027	2149745920.000000
281474976710655.000000	4.367945	2028	2150802432.000000
281474976710655.000000	4.461048	2029	2151840000.000000
281474976710655.000000	4.415854	2030	2152893696.000000
281474976710655.000000	4.508889	2031	2153936128.000000
281474976710655.000000	4.522921	2032	2154985216.000000
281474976710655.000000	4.624975	2033	2156029184.000000
281474976710655.000000	4.615155	2034	2157077760.000000
281474976710655.000000	4.639080	2035	2158122752.000000
281474976710655.000000	4.716801	2036	2159171328.000000
281474976710655.000000	4.823536	2037	2160215040.000000
281474976710655.000000	4.846447	2038	2161263616.000000
281474976710655.000000	4.841015	2039	2162305792.000000
281474976710655.000000	4.871543	2040	2163357952.000000
281474976710655.000000	4.949137	2041	2164396288.000000
281474976710655.000000	5.080404	2042	2165451264.000000
281474976710655.000000	5.002704	2043	2166488320.000000
281474976710655.000000	5.194691	2044	2167544576.000000
281474976710655.000000	5.058590	2045	2168580864.000000
281474976710655.000000	5.128505	2046	2169637376.000000
281474976710655.000000	5.149471	2047	2170674176.000000
281474976710655.000000	5.158794	2048	2171729152.000000
281474976710655.000000	5.264114	2049	2172767744.000000
281474976710655.000000	5.208499	2050	2173820416.000000
281474976710655.000000	5.328366	2051	2174861312.000000
281474976710655.000000	5.390428	2052	2175911424.000000
281474976710655.000000	5.388791	2053	2176954368.000000
281474976710655.000000	5.464245	2054	2178003456.000000
281474976710655.000000	5.478728	2055	2179046656.000000
281474976710655.000000	5.534799	2056	2180096000.000000
281474976710655.000000	5.606750	2057	2181138176.000000
281474976710655.000000	5.548191	2058	2182189056.000000
281474976710655.000000	5.596908	2059	2183229696.000000
281474976710655.000000	5.741479	2060	2184282624.000000
281474976710655.000000	5.691182	2061	2185320192.000000
281474976710655.000000	5.773888	2062	2186375680.000000
281474976710655.000000	5.808224	2063	2187410944.000000
281474976710655.000000	5.784650	2064	2188467968.000000
281474976710655.000000	5.850557	2065	2189504768.000000
281474976710655.000000	5.947400	2066	2190557952.000000
281474976710655.000000	5.903268	2067	2191598592.000000
281474976710655.000000	5.986251	2068	2192648448.000000
281474976710655.000000	5.997051	2069	2193691648.000000
281474976710655.000000	5.959025	2070	2194739968.000000
281474976710655.000000	6.097907	2071	2195783168.000000
281474976710655.000000	6.031469	2072	2196832768.000000
281474976710655.000000	6.041601	2073	2197873664.000000
281474976710655.000000	6.134712	2074	2198925824.000000
281474976710655.000000	6.079475	2075	2199964160.000000
281474976710655.000000	6.303464	2076	2201019648.000000
281474976710655.000000	6.184426	2077	2202055168.000000
281474976710655.000000	6.198442	2078	2203110912.000000
281474976710655.000000	6.354103	2079	2204147712.000000
281474976710655.000000	6.306196	2080	2205202432.000000
281474976710655.000000	6.317711	2081	2206239232.000000
281474976710655.000000	6.420380	2082	2207294976.000000
281474976710655.000000	6.306728	2083	2208329984.000000
281474976710655.000000	6.538045	2084	2209386240.000000
281474976710655.000000	6.420566	2085	2210422528.000000
281474976710655.000000	6.512137	2086	2211478528.000000
281474976710655.000000	6.452106	2087	2212513792.000000
281474976710655.000000	6.596224	2088	2213569792.000000
281474976710655.000000	6.495109	2089	2214605312.000000
281474976710655.000000	6.599105	2090	2215661312.000000
281474976710655.000000	6.611147	2091	2216697088.000000
281474976710655.000000	6.617027	2092	2217753344.000000
281474976710655.000000	6.655641	2093	2218789632.000000
281474976710655.000000	6.561831	2094	2219843584.000000
281474976710655.000000	6.689472	2095	2220882688.000000
281474976710655.000000	6.667876	2096	2221934336.000000
281474976710655.000000	6.773105	2097	2222975744.000000
281474976710655.000000	6.790932	2098	2224024320.000000
281474976710655.000000	6.865019	2099	2225068288.000000
281474976710655.000000	6.811175	2100	2226115840.000000
281474976710655.000000	6.944573	2101	2227159296.000000
281474976710655.000000	6.912647	2102	2228208384.000000
281474976710655.000000	6.460648	2103	2229251840.000000
281474976710655.000000	6.852958	2104	2230301952.000000
281474976710655.000000	7.015710	2105	2231340288.000000
281474976710655.000000	7.106844	2106	2232393216.000000
281474976710655.000000	6.963317	2107	2233430784.000000
281474976710655.000000	7.171656	2108	2234485760.000000
281474976710655.000000	7.062662	2109	2235521280.000000
