num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5113	5512.675591	37.571391	-1.769772	2.619286	3.099259
5115	5514.765063	37.824281	-1.759890	2.618412	3.007671
5117	5516.856197	38.029235	-1.758802	2.618139	2.780850
5119	5518.958591	39.201109	-1.726568	2.618694	2.655143
5121	5521.057254	40.488969	-1.591917	2.629324	3.065889
5123	5523.157204	41.195879	-1.654825	2.617157	2.806034
5125	5525.254363	40.970886	-0.395482	2.596232	3.396052
5127	5527.351383	42.982849	-1.415926	2.609841	3.052733
5129	5529.450740	44.070503	-1.441311	2.613367	3.374656
5131	5531.546944	44.586441	-1.538401	2.613669	4.190522
5133	5533.644208	44.328393	-1.549015	2.624613	4.241154
5135	5535.740890	45.954833	-1.481696	2.611895	4.095108
5137	5537.834994	46.434857	-1.470886	2.611388	4.453296
5139	5539.929680	47.089172	-1.640482	2.601149	4.083655
5141	5542.024704	47.755573	-1.293083	2.607317	4.311579
5143	5544.117766	48.085752	-1.280599	2.622529	4.451558
5145	5546.212344	46.958414	-3.616104	2.636624	4.105485
5147	5548.305419	47.974893	-1.314095	2.601215	4.847355
5149	5550.398793	50.082435	-1.292506	2.604679	4.169938
5151	5552.491494	52.825728	2.532185	2.596667	4.578663
5153	5554.585600	51.936401	-1.380062	2.612201	4.509025
5155	5556.678823	50.569196	-1.590443	2.598117	4.681949
5157	5558.771473	50.890621	-1.213096	2.606383	4.998369
5159	5560.865785	51.348442	-1.198827	2.619262	4.815395
5161	5562.958481	51.735212	-1.300511	2.617245	5.340852
5163	5565.051585	49.354110	-2.401020	2.609949	4.977367
5165	5567.144477	54.861795	2.270168	2.596104	5.576305
5167	5569.236929	52.442067	-1.140789	2.603470	5.148550
5169	5571.329319	52.244611	-1.225273	2.619639	5.304899
5171	5573.421178	52.568567	-1.150442	2.618664	5.494444
5173	5575.512462	54.236000	-1.323461	2.612423	5.646955
5175	5577.604158	53.159156	-1.204702	2.616288	5.500903
5177	5579.695678	48.551708	-2.825607	2.609003	5.500548
5179	5581.787640	54.265942	-1.277420	2.603148	5.268066
5181	5583.879389	54.118644	-1.241073	2.614548	5.906548
5183	5585.971281	57.999709	-0.255156	2.591182	5.591302
5185	5588.062995	54.639338	-1.236438	2.601066	5.657957
5187	5590.154634	55.369790	-1.582669	2.597988	5.714184
5189	5592.246960	54.826514	-1.032021	2.601107	5.566021
5191	5594.338564	55.177166	-0.941533	2.602152	5.903182
5193	5596.430848	55.544770	-1.257409	2.600650	5.584861
5195	5598.522649	55.302152	-1.495407	2.604003	5.773967
5197	5600.614125	55.754822	-4.836462	2.617743	5.722740
5199	5602.706351	55.683133	-0.989814	2.599964	5.925596
5201	5604.798096	54.561108	-1.324841	2.607753	6.101995
5203	5606.891354	56.405931	-1.558045	2.595655	5.859686
5205	5608.983542	57.318284	-1.374589	2.606179	6.081145
5207	5611.075997	56.896515	-1.543279	2.596701	6.184699
5209	5613.168303	56.558173	-1.170864	2.595125	6.470821
5211	5615.260238	58.992063	2.398017	2.589650	6.517948
5213	5617.351544	57.809268	-1.417695	2.601650	6.463049
5215	5619.443163	57.134151	-1.465550	2.598890	6.129431
5217	5621.534370	57.891545	-1.600682	2.594392	6.473737
5219	5623.625992	54.928977	-1.461361	2.594934	6.272123
5221	5625.717092	58.083395	-1.611245	2.594477	6.518676
5223	5627.808652	57.584671	-1.101084	2.598436	6.378354
5225	5629.899826	60.925937	2.371480	2.592161	6.582301
5227	5631.991641	58.982033	-1.376496	2.600036	6.080834
5229	5634.083041	58.023727	-1.517814	2.598231	6.377922
5231	5636.174728	57.736911	-1.511020	2.598043	6.602924
5233	5638.266651	57.858407	-1.509758	2.596664	6.684955
5235	5640.357753	58.233892	-1.525499	2.595731	6.660612
5237	5642.449596	58.319609	-1.527375	2.594534	6.629384
5239	5644.540520	57.837997	-1.503200	2.592096	6.804426
5241	5646.631942	58.628041	-1.705313	2.588199	6.636430
